H55933,R39465,R39465_,R85482,U14973,R02593,T51496,H80240,T65938,T55131,T72863,H86060_,X63432,H20709,U14971,T52342,L28809,T63508,H09263,T49423,H79852,J02763,R22197,T59954,H80240_,T95018,H86060,T63484,R02593_,M11799,T61609,T62220,T51574,T48041,T96832,H54676,R86975,T63258,control1,control2,control3,control,T57619,T88723,R36455,T61602,T58861,U21909,T61661,control4,X73882,T78323,M80359,M35531,R35903,X67325_,U25435,D37931,M15841,D59253,H77510,R78142,R62945,X70070,U05040,U33429,T60778,X04011,L12350,R06749,U24105,T57468,M55422,M64110,U14577,K03474,T49204,D00760,H20856,R98410,H62854,T89666,D38551,U12140,M63239,D14689,M67454,T64128,R76825,U15212,X67699,R70790,L11706,T90549,D17390,M33210,H18490,H40891,R77780,T49647,Class
8589.416,5468.2407,4263.4077,4064.9358,1997.893,5282.325,2169.72,2773.4211,7526.386,4607.6763,2598.06,1522.6462,1300.5988,1181.63,2417.9583,3139.4,2473.2612,1306.9038,1285.6025,1900.3613,3504.2139,2428.0525,5150.0137,3855.84,1806.475,3192.413,872.0143,1135.8239,2365.2424,1567.2363,1643.5575,1582.035,2854.9875,2513.335,930.0712,3166.58,930.3038,2018.355,2065.5945,2065.5945,2065.5945,2065.5945,1926.3962,2701.3638,1327.6923,2523.0337,1703.055,832.67,1183.4763,2344.6104,41.158333,247.29625,66.83875,49.7475,62.6625,42.038334,22.6475,122.7875,212.19624,76.1525,45.10625,135.19624,98.4725,74.6525,46.80125,75.62619,228.4225,77.22375,47.94625,34.6875,225.915,243.4125,35.825,177.2381,64.71125,88.44444,107.83375,42.1675,47.62125,163.80125,86,69.3525,90.344444,58.4475,52.86625,12.202632,20.689285,86.81,51.46,289.42374,99.11072,67.56125,259.9125,138.89874,88.2325,39.66786,67.82875,75.6775,83.5225,28.70125,Abnormal
9164.254,6719.5293,4883.4487,3718.159,2015.2214,5569.907,3849.0588,2793.3875,7017.734,4802.2524,1672.975,1792.1769,3792.5425,3630.3826,1906.2131,5745.396,1919.4462,2036.2838,2253.3625,2490.8738,3759.585,4268.9185,4166.1914,4286.69,2699.2844,2796.0833,1015.9143,1459.1025,2865.0388,1156.9563,1351.965,3218.3213,3855.5337,3097.4539,1667.5425,2779.3037,1064.2675,2430.879,2814.28,2814.28,2814.28,2814.28,1288.305,4866.3086,1631.1578,2609.955,1573.8662,1795.6613,3155.3425,1559.2797,26.5,301.66876,85.22875,56.45,49.99875,146.67667,64.36375,150.54124,247.57,114.215,41.84375,169.08,76.4075,119.0575,62.5975,81.4631,1803.7637,100.0525,101.37625,61.8225,330.16125,202.205,37.12976,605.5381,91.295,86.03611,48.45875,37.4175,86.38625,163.13875,146.125,89.59,124.70833,35.79375,62.05875,39.719738,83.14286,321.3375,41.59125,263.36874,126.78929,92.23875,96.27625,150.59,82.2375,85.03333,152.195,186.5675,44.4725,16.77375,Normal
3825.705,6970.3613,5369.9688,4705.65,1166.5536,1572.1678,1325.4025,1472.2587,3296.9512,2786.582,2441.4187,1487.6711,1315.8538,855.455,802.30475,3251.1084,781.995,1618.65,1066.8387,1006.2112,1436.785,658.8787,1924.7913,2080.6611,1155.9438,1444.0964,853.4429,734.52875,763.3075,704.1175,591.8088,807.39374,2138.8726,1734.115,905.62,1378.12,797.1925,1880.1875,1389.6302,1389.6302,1389.6302,1389.6302,535.72626,2106.655,660.3547,1327.9062,685.0037,452.5875,1380.55,1109.334,24.025,438.2475,61.14875,101.5525,38.0875,9.163333,24.0925,20.94625,46.76375,59.25125,27.73375,62.98,51.04375,104.7625,10.1575,47.025,460.5675,64.46125,159.98,99.5325,122.0425,97.2675,23.49643,119.1119,75.155,122.41389,40.4675,6.15625,10.62375,128.99374,24.917105,77.06375,33.443054,14.43625,30.185,24.805264,6.0160713,116.18375,50.87375,71.40125,151.87738,82.715,31.1025,193.92,76.9725,224.62024,31.225,42.65625,16.0925,15.15625,Abnormal
6246.4487,7823.534,5955.835,3975.5642,2002.6132,2130.543,1531.1425,1714.6312,3869.785,4989.407,1723.58,1298.725,1309.3475,1789.67,1587.7917,3496.1458,1226.2975,1597.2812,1144.6912,1139.6274,2662.0974,2636.1562,3134.7476,4244.07,1186.8938,2342.382,792.2143,1133.2375,969.8237,835.3862,1392.7162,3034.5713,4699.395,3312.4812,854.4288,1880.54,1329.3225,3124.2488,2456.093,2456.093,2456.093,2456.093,901.29,4344.305,762.0875,2171.2375,1425.2875,582.195,1969.8763,1651.3499,11.880952,152.98,72.51875,122.97375,73.07375,24.273333,32.37875,56.2025,88.61875,49.84125,24.715,61.42375,97.97375,34.58875,63.75875,45.22381,799.945,71.27625,24.16875,40.38625,198.435,170.53876,16.402382,172.44524,90.455,140.83057,31.11625,21.02875,70.51875,203.06375,174.06316,86.48125,76.85139,38.58875,10.61125,35.985527,43.935715,239.27,29.55875,367.58124,152.59525,41.68375,5.925,183.00626,74.52875,67.71072,48.33875,42.52,49.9825,16.085,Normal
3230.3286,3694.45,3400.74,3463.5857,2181.4202,2922.782,2069.2463,2948.575,3303.371,3109.413,2724.266,2557.7847,3164.6963,2285.3088,2576.7488,3056.725,1391.59,2162.5537,1540.25,2705.675,1271.7188,4439.891,2030.6738,2249.8188,2150.1218,3350.5024,1563.9893,1903.5825,1568.1113,1368.8175,2648.2676,1073.41,1207.4163,1201.7687,1733.8239,621.65,1381.4825,719.4525,967.3576,967.3576,967.3576,967.3576,2451.5913,1477.365,1131.9641,643.6025,1900.93,970.8762,1314.3138,1293.4833,39.844048,157.6825,40.42875,68.955,26.42875,35.868332,45.415,22.99125,120.88125,26.37875,29.32625,40.36,22.07125,6.37,17.33375,45.464287,105.94625,28.905,75.84375,42.00125,123.20875,42.0225,19.664286,49.37738,62.6525,52.74167,55.2675,30.60375,57.9425,149.385,24.352633,29.42375,49.856945,80.67375,50.12125,71.18421,29.364286,52.59125,43.63625,56.0725,126.46429,76.60375,161.35,61.70125,54.56375,223.35953,73.09875,57.59875,7.48875,31.8125,Abnormal
2510.325,1960.6545,1566.315,3072.8162,1810.2048,1673.5643,1290.4211,2465.8462,1675.5438,1312.8083,2289.035,2162.2866,2070.0774,3466.7913,2137.418,2716.3792,1497.1588,1586.2438,962.01,1214.7675,904.7225,3970.4226,906.59625,1313.0588,1950.3906,1788.1464,1254.5155,1639.1475,819.1887,1454.7625,1227.4187,916.7125,576.78375,745.34,994.6125,540.46875,1236.0762,422.65625,1374.1554,1374.1554,1374.1554,1374.1554,1022.6538,1754.6938,956.5516,602.0563,1497.585,664.0125,1030.57,729.78375,10.488095,37.455,26.4625,34.3975,20.8775,54.443333,23.825,16.09,15.73375,40.5,41.44375,42.3025,26.415,18.27,16.17875,36.12738,213.55125,37.7825,29.525,27.13875,74.56125,34.43875,16.604761,111.28095,61.5725,41.21111,39.7775,28.0125,23.72375,87.18,6.088158,26.13,18.765278,50.26,24.35,15.419737,13.553571,84.20625,47.47875,73.505,122.53333,47.535,147.23625,28.31,33.195,91.85,5.87875,36.2975,9.815,21.88375,Normal
7126.5986,3779.068,3705.5537,6594.514,2460.9048,3775.6821,2621.4187,2047.2812,6411.2676,3857.119,1496.4062,1604.2615,1489.905,1364.17,2093.5012,3048.079,1324.5413,1452.915,2003.4838,2217.34,3247.139,3275.5664,3186.0576,1905.6438,1557.7375,3116.1953,925.7202,1644.2762,1902.5725,2218.7424,2194.0725,1298.0925,2604.635,1743.8225,1068.4188,1901.3812,1749.7913,1746.8438,1033.7079,1033.7079,1033.7079,1033.7079,1501.8213,1989.6288,985.7516,2318.4138,1794.5537,684.38,1206.225,1715.9059,27.453571,71.87625,69.12875,87.76125,31.905,60.006668,35.2925,79.37375,107.19375,82.24875,40.64,87.4975,277.92624,46.21875,73.4625,105.65357,11.93875,84.57125,37.1575,25.005,141.43124,132.32375,27.303572,44.940475,73.3325,197.25833,48.705,39.35375,36.76125,69.3525,36.95,56.70625,77.88472,34.1225,24.34875,52.28421,36.623215,72.24625,53.3,154.84125,147.80476,51.0325,80.19,76.485,98.5375,54.62143,30.54,52.96125,37.23625,24.445,Abnormal
4028.71,3156.1592,2870.255,4417.5913,1854.106,2828.3037,1427.5262,3390.7063,4373.044,3080.4512,5784.121,2222.2078,2502.81,3616.246,1673.2262,4623.079,1871.76,3154.8286,1624.4113,1150.885,1309.1838,3015.639,1206.1875,1640.315,2641.15,1752.5536,1531.5286,2560.4424,1293.7762,3926.4175,1013.6188,786.10126,1077.6875,1956.6438,987.2438,749.75,1259.8239,1215.6525,2276.8342,2276.8342,2276.8342,2276.8342,884.3625,2627.1875,830.7469,872.39374,1353.59,1253.7988,1140.9512,1981.6412,19.019049,146.20125,29.015,72.1025,31.365,44.68667,19.695,54.96125,30.4325,39.82125,51.84375,67.6975,63.61125,68.4125,19.345,62.54524,382.57126,70.14375,21.97125,38.4275,111.66125,33.3225,48.36905,190.65952,45.42625,73.486115,71.57875,56.235,14.12,135.63875,45.438156,60.20625,6.072222,46.43875,54.9475,12.184211,38.39107,60.5275,14.93,96.66,116.19405,46.67375,172.78876,51.82375,97.855,98.98214,24.19625,29.76625,44.37625,52.29,Normal
9330.679,7017.2295,4723.7827,9491.534,5346.5415,1557.143,1969.08,2295.4026,6880.346,6162.893,7927.6523,2022.6731,1427.5125,3334.285,5329.664,1547.2167,4694.58,2193.6938,1077.535,1433.41,4611.555,9533.935,4302.4536,10721.298,2199.5405,6264.4927,1278.0262,3597.075,719.1475,3315.9988,4410.2627,3309.9424,6966.7812,3493.0212,478.95874,2721.45,3580.59,2497.8113,1448.59,1448.59,1448.59,1448.59,4384.52,3108.3938,847.2047,3871.4512,6000.0776,685.1175,3611.195,1787.5962,7.0333333,134.89375,129.5525,138.2725,25.43875,164.99333,28.35125,87.7325,567.66,105.9325,58.34,107.52125,70.20375,53.785,72.83625,225.29405,87.9,66.09625,26.61625,20.66125,159.64874,190.3725,29.241667,21.065475,47.3975,92.90833,84.68875,206.92375,55.13125,81.24125,176.63553,71.235,577.1472,70.235,16.5,8.938158,18.614286,110.21375,16.93,353.455,111.1381,42.14625,277.85376,176.10374,149.15625,209.9119,99.915,122.44125,40.39125,26.8475,Abnormal
5271.5176,4740.768,3318.5137,6792.348,2632.8894,5449.207,4623.2124,3277.4038,4488.06,3343.8108,3830.425,3046.9463,8878.309,5729.3213,2763.3225,5865.658,1828.0662,3078.7437,3741.37,4443.52,2707.755,5904.6025,1806.1387,3337.0962,2910.1282,1769.3333,1837.2762,2578.5825,2949.155,2830.0488,2092.195,2423.3662,1488.0175,1670.8625,2562.0837,998.76874,2256.7063,807.95,2444.3308,2444.3308,2444.3308,2444.3308,1562.0187,3374.0225,2123.7078,1395.8762,1910.4275,3187.6638,1841.155,1475.995,68.90833,98.48375,53.235,67.2375,40.29875,103.41167,61.66,66.89875,68.34,51.255,56.8125,91.455,63.59875,60.77875,28.60125,111.34881,307.89874,57.555,94.57,93.2975,139.68375,26.235,37.95238,145.0238,95.76625,97.82778,124.9875,52.7525,40.13625,147.77875,65.60263,70.71875,31.123611,31.92375,97.30875,98.0921,94.685715,149.91,107.15,117.59875,401.77023,141.3725,215.8875,71.0375,93.52125,136.04048,43.23,67.15,65.61,44.0425,Normal
